,Total Voltage (V),Resistor Voltage (V),LED Voltage (V),Current (mA)
313,1.02,0.0,1.02,0.0
314,1.0,0.01,0.99,0.05
315,1.03,0.01,1.02,0.05
316,1.03,0.0,1.03,0.0
317,1.04,0.0,1.04,0.0
318,1.09,0.01,1.08,0.05
319,1.03,0.0,1.03,0.0
320,1.04,0.01,1.03,0.05
321,1.03,0.01,1.02,0.05
322,1.05,0.0,1.05,0.0
323,1.01,0.01,1.0,0.05
324,1.05,0.01,1.04,0.05
325,1.06,0.01,1.05,0.05
326,1.06,0.01,1.05,0.05
327,1.07,0.01,1.06,0.05
328,1.09,0.07,1.02,0.32
329,1.07,0.01,1.06,0.05
330,1.07,0.02,1.05,0.09
331,1.08,0.0,1.08,0.0
332,1.08,0.01,1.07,0.05
333,1.05,0.0,1.05,0.0
334,1.08,0.0,1.08,0.0
335,1.1,0.01,1.09,0.05
336,1.09,0.01,1.08,0.05
337,1.1,0.01,1.09,0.05
338,1.1,0.01,1.09,0.05
339,1.11,0.01,1.1,0.05
340,1.11,0.0,1.11,0.0
341,1.1,0.01,1.09,0.05
342,1.1,0.0,1.1,0.0
343,1.12,0.01,1.11,0.05
344,1.12,0.01,1.11,0.05
345,1.12,0.0,1.12,0.0
346,1.12,0.02,1.1,0.09
347,1.13,0.0,1.13,0.0
348,1.13,0.02,1.11,0.09
349,1.13,0.01,1.12,0.05
350,1.14,0.01,1.13,0.05
351,1.15,0.0,1.15,0.0
352,1.15,0.02,1.13,0.09
353,1.15,0.01,1.14,0.05
354,1.15,0.01,1.14,0.05
355,1.15,0.0,1.15,0.0
356,1.16,0.01,1.15,0.05
357,1.16,0.0,1.16,0.0
358,1.16,0.01,1.15,0.05
359,1.17,0.01,1.16,0.05
360,1.16,0.01,1.15,0.05
361,1.17,0.0,1.17,0.0
362,1.17,0.0,1.17,0.0
363,1.19,0.01,1.18,0.05
364,1.2,0.01,1.19,0.05
365,1.18,0.01,1.17,0.05
366,1.19,0.0,1.19,0.0
367,1.19,0.0,1.19,0.0
368,1.2,0.01,1.19,0.05
369,1.18,0.01,1.17,0.05
370,1.2,0.0,1.2,0.0
371,1.2,0.02,1.18,0.09
372,1.21,0.0,1.21,0.0
373,1.21,0.0,1.21,0.0
374,1.21,0.02,1.19,0.09
375,1.22,0.01,1.21,0.05
376,1.23,0.0,1.23,0.0
377,1.23,0.01,1.22,0.05
378,1.23,0.0,1.23,0.0
379,1.23,0.01,1.22,0.05
380,1.23,0.01,1.22,0.05
381,1.22,0.01,1.21,0.05
382,1.24,0.0,1.24,0.0
383,1.24,0.0,1.24,0.0
384,1.24,0.01,1.23,0.05
385,1.25,0.01,1.24,0.05
386,1.25,0.01,1.24,0.05
387,1.25,0.01,1.24,0.05
388,1.29,0.01,1.28,0.05
389,1.26,0.01,1.25,0.05
390,1.26,0.01,1.25,0.05
391,1.27,0.02,1.25,0.09
392,1.27,0.01,1.26,0.05
393,1.28,0.01,1.27,0.05
394,1.28,0.0,1.28,0.0
395,1.29,0.01,1.28,0.05
396,1.29,0.03,1.26,0.14
397,1.29,0.01,1.28,0.05
398,1.3,0.01,1.29,0.05
399,1.28,0.01,1.27,0.05
400,1.35,0.01,1.34,0.05
401,1.3,0.01,1.29,0.05
402,1.3,0.01,1.29,0.05
403,1.31,0.01,1.3,0.05
404,1.31,0.01,1.3,0.05
405,1.31,0.01,1.3,0.05
406,1.32,0.01,1.31,0.05
407,1.33,0.0,1.33,0.0
408,1.33,0.01,1.32,0.05
409,1.33,0.0,1.33,0.0
410,1.33,0.01,1.32,0.05
411,1.34,0.0,1.34,0.0
412,1.34,0.0,1.34,0.0
413,1.35,0.0,1.35,0.0
414,1.34,0.01,1.33,0.05
415,1.33,0.01,1.32,0.05
416,1.35,0.0,1.35,0.0
417,1.35,0.0,1.35,0.0
418,1.35,0.0,1.35,0.0
419,1.36,0.03,1.33,0.14
420,1.36,0.01,1.35,0.05
421,1.36,0.01,1.35,0.05
422,1.37,0.01,1.36,0.05
423,1.38,0.01,1.37,0.05
424,1.37,0.02,1.35,0.09
425,1.38,0.0,1.38,0.0
426,1.38,0.02,1.36,0.09
